series,horizon,cps,sps,n_windows,MAPE,std,seconds
United States,7,0.001,0.1,15,7.06,5.61,16.3
United States,7,0.001,1.0,15,7.8,6.08,16.3
United States,7,0.001,10.0,15,7.64,5.65,16.3
United States,7,0.01,0.1,15,8.36,5.33,16.3
United States,7,0.01,1.0,15,8.07,4.79,16.3
United States,7,0.01,10.0,15,8.1,5.44,16.3
United States,7,0.05,0.1,15,7.41,6.3,16.3
United States,7,0.05,1.0,15,7.66,6.43,16.3
United States,7,0.05,10.0,15,7.28,6.32,16.3
United States,7,0.1,0.1,15,4.78,3.28,16.3
United States,7,0.1,1.0,15,4.69,3.28,16.3
United States,7,0.1,10.0,15,4.6,3.25,16.3
United States,7,0.2,0.1,15,4.66,3.72,16.3
United States,7,0.2,1.0,15,4.71,3.86,16.3
United States,7,0.2,10.0,15,4.66,3.83,16.3
United States,7,0.5,0.1,15,4.54,3.6,16.3
United States,7,0.5,1.0,15,4.53,3.52,16.3
United States,7,0.5,10.0,15,4.41,3.51,16.3
United States,14,0.001,0.1,15,7.39,6.52,15.4
United States,14,0.001,1.0,15,8.09,7.09,15.4
United States,14,0.001,10.0,15,7.92,6.51,15.4
United States,14,0.01,0.1,15,9.87,5.88,15.4
United States,14,0.01,1.0,15,9.56,5.37,15.4
United States,14,0.01,10.0,15,9.64,5.98,15.4
United States,14,0.05,0.1,15,9.38,7.27,15.4
United States,14,0.05,1.0,15,9.67,7.4,15.4
United States,14,0.05,10.0,15,9.31,7.26,15.4
United States,14,0.1,0.1,15,6.43,4.2,15.4
United States,14,0.1,1.0,15,6.28,4.23,15.4
United States,14,0.1,10.0,15,6.29,4.13,15.4
United States,14,0.2,0.1,15,5.95,5.1,15.4
United States,14,0.2,1.0,15,5.94,5.3,15.4
United States,14,0.2,10.0,15,5.95,5.25,15.4
United States,14,0.5,0.1,15,5.64,4.95,15.4
United States,14,0.5,1.0,15,5.78,4.86,15.4
United States,14,0.5,10.0,15,5.56,4.84,15.4
United States,30,0.001,0.1,15,7.69,7.11,15.4
United States,30,0.001,1.0,15,8.24,7.51,15.4
United States,30,0.001,10.0,15,7.9,7.08,15.4
United States,30,0.01,0.1,15,11.14,6.06,15.4
United States,30,0.01,1.0,15,10.77,5.68,15.4
United States,30,0.01,10.0,15,10.88,6.2,15.4
United States,30,0.05,0.1,15,12.06,9.18,15.4
United States,30,0.05,1.0,15,12.47,9.19,15.4
United States,30,0.05,10.0,15,11.97,9.17,15.4
United States,30,0.1,0.1,15,8.73,5.8,15.4
United States,30,0.1,1.0,15,8.44,5.89,15.4
United States,30,0.1,10.0,15,8.5,5.79,15.4
United States,30,0.2,0.1,15,8.53,6.86,15.4
United States,30,0.2,1.0,15,8.46,7.16,15.4
United States,30,0.2,10.0,15,8.55,7.03,15.4
United States,30,0.5,0.1,15,8.23,6.68,15.4
United States,30,0.5,1.0,15,8.63,6.64,15.4
United States,30,0.5,10.0,15,8.19,6.64,15.4
United States,90,0.001,0.1,13,8.67,6.73,13.1
United States,90,0.001,1.0,13,8.73,6.61,13.1
United States,90,0.001,10.0,13,8.72,6.62,13.1
United States,90,0.01,0.1,13,14.11,4.35,13.1
United States,90,0.01,1.0,13,13.78,4.52,13.1
United States,90,0.01,10.0,13,13.75,4.59,13.1
United States,90,0.05,0.1,13,19.15,14.04,13.1
